iShares Core S&P 500 ETF
Fund Holdings as of,"Nov 18, 2025"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,061,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"TEL","TE CONNECTIVITY PLC","Information Technology","Equity","852,058,633.02","0.12","852,058,633.02","3,679,963.00","231.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","850,978,272.63","0.12","850,978,272.63","9,167,061.00","92.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AJG","ARTHUR J GALLAGHER","Financials","Equity","825,774,411.84","0.12","825,774,411.84","3,192,756.00","258.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AEP","AMERICAN ELECTRIC POWER INC","Utilities","Equity","822,656,140.44","0.12","822,656,140.44","6,660,644.00","123.51","United States","NASDAQ","USD","1.00","USD","-"
"PWR","QUANTA SERVICES INC","Industrials","Equity","815,181,227.91","0.12","815,181,227.91","1,855,679.00","439.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ECL","ECOLAB INC","Materials","Equity","812,830,921.73","0.12","812,830,921.73","3,179,219.00","255.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GM","GENERAL MOTORS","Consumer Discretionary","Equity","805,477,597.45","0.11","805,477,597.45","11,857,465.00","67.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TRV","TRAVELERS COMPANIES INC","Financials","Equity","804,298,715.00","0.11","804,298,715.00","2,803,900.00","286.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ITW","ILLINOIS TOOL INC","Industrials","Equity","799,295,349.97","0.11","799,295,349.97","3,303,829.00","241.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CL","COLGATE-PALMOLIVE","Consumer Staples","Equity","798,528,481.64","0.11","798,528,481.64","10,065,908.00","79.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMI","CUMMINS INC","Industrials","Equity","797,845,492.64","0.11","797,845,492.64","1,716,092.00","464.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AZO","AUTOZONE INC","Consumer Discretionary","Equity","797,862,424.26","0.11","797,862,424.26","208,434.00","3,827.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MAR","MARRIOTT INTERNATIONAL INC CLASS A","Consumer Discretionary","Equity","793,836,354.30","0.11","793,836,354.30","2,806,067.00","282.90","United States","NASDAQ","USD","1.00","USD","-"
"RCL","ROYAL CARIBBEAN GROUP LTD","Consumer Discretionary","Equity","790,996,736.14","0.11","790,996,736.14","3,146,117.00","251.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSX","CSX CORP","Industrials","Equity","789,192,124.38","0.11","789,192,124.38","23,218,362.00","33.99","United States","NASDAQ","USD","1.00","USD","-"
"HLT","HILTON WORLDWIDE HOLDINGS INC","Consumer Discretionary","Equity","784,854,402.98","0.11","784,854,402.98","2,929,217.00","267.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CTAS","CINTAS CORP","Industrials","Equity","784,569,623.32","0.11","784,569,623.32","4,266,052.00","183.91","United States","NASDAQ","USD","1.00","USD","-"
"NSC","NORFOLK SOUTHERN CORP","Industrials","Equity","784,473,185.70","0.11","784,473,185.70","2,794,305.00","280.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADSK","AUTODESK INC","Information Technology","Equity","778,825,095.30","0.11","778,825,095.30","2,665,110.00","292.23","United States","NASDAQ","USD","1.00","USD","-"
"GLW","CORNING INC","Information Technology","Equity","777,841,094.12","0.11","777,841,094.12","9,708,451.00","80.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MSI","MOTOROLA SOLUTIONS INC","Information Technology","Equity","772,657,798.44","0.11","772,657,798.44","2,075,029.00","372.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MPC","MARATHON PETROLEUM CORP","Energy","Equity","755,785,139.49","0.11","755,785,139.49","3,786,309.00","199.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EOG","EOG RESOURCES INC","Energy","Equity","745,071,726.77","0.11","745,071,726.77","6,799,961.00","109.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SRE","SEMPRA","Utilities","Equity","744,363,309.20","0.11","744,363,309.20","8,126,237.00","91.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPG","SIMON PROPERTY GROUP REIT INC","Real Estate","Equity","739,736,658.43","0.11","739,736,658.43","4,066,051.00","181.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COIN","COINBASE GLOBAL INC CLASS A","Financials","Equity","737,395,673.55","0.10","737,395,673.55","2,816,745.00","261.79","United States","NASDAQ","USD","1.00","USD","-"
"WBD","WARNER BROS. DISCOVERY INC SERIES","Communication","Equity","730,463,690.47","0.10","730,463,690.47","30,834,263.00","23.69","United States","NASDAQ","USD","1.00","USD","-"
"PYPL","PAYPAL HOLDINGS INC","Financials","Equity","722,243,866.70","0.10","722,243,866.70","11,898,581.00","60.70","United States","NASDAQ","USD","1.00","USD","-"
"VLO","VALERO ENERGY CORP","Energy","Equity","717,416,617.05","0.10","717,416,617.05","3,868,935.00","185.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FCX","FREEPORT MCMORAN INC","Materials","Equity","715,267,760.00","0.10","715,267,760.00","17,881,694.00","40.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APO","APOLLO GLOBAL MANAGEMENT INC","Financials","Equity","712,469,466.24","0.10","712,469,466.24","5,730,932.00","124.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TFC","TRUIST FINANCIAL CORP","Financials","Equity","712,059,740.22","0.10","712,059,740.22","16,059,083.00","44.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FDX","FEDEX CORP","Industrials","Equity","711,070,776.52","0.10","711,070,776.52","2,702,869.00","263.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DDOG","DATADOG INC CLASS A","Information Technology","Equity","710,472,780.84","0.10","710,472,780.84","4,026,254.00","176.46","United States","NASDAQ","USD","1.00","USD","-"
"APD","AIR PRODUCTS AND CHEMICALS INC","Materials","Equity","698,962,556.16","0.10","698,962,556.16","2,771,901.00","252.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PSX","PHILLIPS","Energy","Equity","696,634,139.20","0.10","696,634,139.20","5,033,120.00","138.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VST","VISTRA CORP","Utilities","Equity","691,866,232.56","0.10","691,866,232.56","3,966,668.00","174.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALL","ALLSTATE CORP","Financials","Equity","689,071,293.32","0.10","689,071,293.32","3,281,917.00","209.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BDX","BECTON DICKINSON","Health Care","Equity","686,568,478.86","0.10","686,568,478.86","3,569,742.00","192.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"STX","SEAGATE TECHNOLOGY HOLDINGS PLC","Information Technology","Equity","672,433,253.10","0.10","672,433,253.10","2,648,835.00","253.86","United States","NASDAQ","USD","1.00","USD","-"
"AFL","AFLAC INC","Financials","Equity","669,981,306.72","0.10","669,981,306.72","5,994,822.00","111.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SLB","SLB NV","Energy","Equity","669,673,944.32","0.10","669,673,944.32","18,581,408.00","36.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IDXX","IDEXX LABORATORIES INC","Health Care","Equity","667,820,701.35","0.09","667,820,701.35","996,435.00","670.21","United States","NASDAQ","USD","1.00","USD","-"
"LHX","L3HARRIS TECHNOLOGIES INC","Industrials","Equity","665,140,280.32","0.09","665,140,280.32","2,330,228.00","285.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","660,444,623.10","0.09","660,444,623.10","4,320,585.00","152.86","United States","NASDAQ","USD","1.00","USD","-"
"KMI","KINDER MORGAN INC","Energy","Equity","659,742,870.78","0.09","659,742,870.78","24,353,742.00","27.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"D","DOMINION ENERGY INC","Utilities","Equity","653,144,307.30","0.09","653,144,307.30","10,628,874.00","61.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"O","REALTY INCOME REIT CORP","Real Estate","Equity","652,934,995.18","0.09","652,934,995.18","11,387,077.00","57.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ZTS","ZOETIS INC CLASS A","Health Care","Equity","652,085,662.14","0.09","652,085,662.14","5,519,601.00","118.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ROST","ROSS STORES INC","Consumer Discretionary","Equity","651,356,007.90","0.09","651,356,007.90","4,073,521.00","159.90","United States","NASDAQ","USD","1.00","USD","-"
"FTNT","FORTINET INC","Information Technology","Equity","650,167,182.00","0.09","650,167,182.00","8,111,880.00","80.15","United States","NASDAQ","USD","1.00","USD","-"
"MNST","MONSTER BEVERAGE CORP","Consumer Staples","Equity","647,162,022.60","0.09","647,162,022.60","8,877,394.00","72.90","United States","NASDAQ","USD","1.00","USD","-"
"URI","UNITED RENTALS INC","Industrials","Equity","641,519,099.00","0.09","641,519,099.00","801,398.00","800.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DLR","DIGITAL REALTY TRUST REIT INC","Real Estate","Equity","637,317,168.30","0.09","637,317,168.30","3,992,715.00","159.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PCAR","PACCAR INC","Industrials","Equity","634,365,838.00","0.09","634,365,838.00","6,539,854.00","97.00","United States","NASDAQ","USD","1.00","USD","-"
"F","FORD MOTOR CO","Consumer Discretionary","Equity","633,868,466.28","0.09","633,868,466.28","48,684,214.00","13.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABNB","AIRBNB INC CLASS A","Consumer Discretionary","Equity","616,807,596.34","0.09","616,807,596.34","5,344,027.00","115.42","United States","NASDAQ","USD","1.00","USD","-"
"CAH","CARDINAL HEALTH INC","Health Care","Equity","615,533,747.28","0.09","615,533,747.28","2,974,024.00","206.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EW","EDWARDS LIFESCIENCES CORP","Health Care","Equity","614,491,739.84","0.09","614,491,739.84","7,311,896.00","84.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WDAY","WORKDAY INC CLASS A","Information Technology","Equity","607,024,625.40","0.09","607,024,625.40","2,690,235.00","225.64","United States","NASDAQ","USD","1.00","USD","-"
"XEL","XCEL ENERGY INC","Utilities","Equity","596,637,414.00","0.08","596,637,414.00","7,365,894.00","81.00","United States","NASDAQ","USD","1.00","USD","-"
"ROP","ROPER TECHNOLOGIES INC","Information Technology","Equity","595,615,169.58","0.08","595,615,169.58","1,340,238.00","444.41","United States","NASDAQ","USD","1.00","USD","-"
"NXPI","NXP SEMICONDUCTORS NV","Information Technology","Equity","592,168,451.02","0.08","592,168,451.02","3,139,978.00","188.59","United States","NASDAQ","USD","1.00","USD","-"
"BKR","BAKER HUGHES CLASS A","Energy","Equity","590,103,844.92","0.08","590,103,844.92","12,278,482.00","48.06","United States","NASDAQ","USD","1.00","USD","-"
"EXC","EXELON CORP","Utilities","Equity","583,399,966.86","0.08","583,399,966.86","12,578,697.00","46.38","United States","NASDAQ","USD","1.00","USD","-"
"FAST","FASTENAL","Industrials","Equity","571,152,915.36","0.08","571,152,915.36","14,293,116.00","39.96","United States","NASDAQ","USD","1.00","USD","-"
"EA","ELECTRONIC ARTS INC","Communication","Equity","565,984,822.83","0.08","565,984,822.83","2,804,543.00","201.81","United States","NASDAQ","USD","1.00","USD","-"
"CBRE","CBRE GROUP INC CLASS A","Real Estate","Equity","547,848,280.00","0.08","547,848,280.00","3,650,375.00","150.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AME","AMETEK INC","Industrials","Equity","546,205,002.30","0.08","546,205,002.30","2,876,277.00","189.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CTVA","CORTEVA INC","Materials","Equity","545,522,424.00","0.08","545,522,424.00","8,457,712.00","64.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OKE","ONEOK INC","Energy","Equity","544,549,626.78","0.08","544,549,626.78","7,843,146.00","69.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RSG","REPUBLIC SERVICES INC","Industrials","Equity","540,783,044.16","0.08","540,783,044.16","2,527,496.00","213.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MSCI","MSCI INC","Financials","Equity","536,470,624.71","0.08","536,470,624.71","963,437.00","556.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PSA","PUBLIC STORAGE REIT","Real Estate","Equity","533,972,082.00","0.08","533,972,082.00","1,966,748.00","271.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AIG","AMERICAN INTERNATIONAL GROUP INC","Financials","Equity","531,768,433.77","0.08","531,768,433.77","6,899,811.00","77.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ETR","ENTERGY CORP","Utilities","Equity","525,068,173.08","0.07","525,068,173.08","5,559,807.00","94.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MET","METLIFE INC","Financials","Equity","524,379,238.00","0.07","524,379,238.00","6,957,400.00","75.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AXON","AXON ENTERPRISE INC","Industrials","Equity","521,872,266.70","0.07","521,872,266.70","977,710.00","533.77","United States","NASDAQ","USD","1.00","USD","-"
"CARR","CARRIER GLOBAL CORP","Industrials","Equity","518,175,734.02","0.07","518,175,734.02","9,963,002.00","52.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TTWO","TAKE TWO INTERACTIVE SOFTWARE INC","Communication","Equity","516,361,477.55","0.07","516,361,477.55","2,159,695.00","239.09","United States","NASDAQ","USD","1.00","USD","-"
"FICO","FAIR ISAAC CORP","Information Technology","Equity","515,653,906.95","0.07","515,653,906.95","298,935.00","1,724.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"YUM","YUM BRANDS INC","Consumer Discretionary","Equity","514,411,956.10","0.07","514,411,956.10","3,456,605.00","148.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMG","CHIPOTLE MEXICAN GRILL INC","Consumer Discretionary","Equity","513,686,370.92","0.07","513,686,370.92","16,699,817.00","30.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMP","AMERIPRISE FINANCE INC","Financials","Equity","513,364,688.54","0.07","513,364,688.54","1,159,334.00","442.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ROK","ROCKWELL AUTOMATION INC","Industrials","Equity","512,528,927.14","0.07","512,528,927.14","1,400,314.00","366.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Utilities","Equity","511,935,017.56","0.07","511,935,017.56","6,215,821.00","82.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MPWR","MONOLITHIC POWER SYSTEMS INC","Information Technology","Equity","511,127,793.28","0.07","511,127,793.28","596,443.00","856.96","United States","NASDAQ","USD","1.00","USD","-"
"KR","KROGER","Consumer Staples","Equity","510,445,814.64","0.07","510,445,814.64","7,575,628.00","67.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"A","AGILENT TECHNOLOGIES INC","Health Care","Equity","508,900,885.60","0.07","508,900,885.60","3,537,965.00","143.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GWW","WW GRAINGER INC","Industrials","Equity","503,264,557.98","0.07","503,264,557.98","548,111.00","918.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TGT","TARGET CORP","Consumer Staples","Equity","500,967,632.49","0.07","500,967,632.49","5,658,733.00","88.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CCI","CROWN CASTLE INC","Real Estate","Equity","493,747,792.64","0.07","493,747,792.64","5,423,416.00","91.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NDAQ","NASDAQ INC","Financials","Equity","482,924,196.30","0.07","482,924,196.30","5,645,595.00","85.54","United States","NASDAQ","USD","1.00","USD","-"
"DHI","D R HORTON INC","Consumer Discretionary","Equity","478,089,032.85","0.07","478,089,032.85","3,453,153.00","138.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HIG","HARTFORD INSURANCE GROUP INC","Financials","Equity","466,166,937.60","0.07","466,166,937.60","3,501,855.00","133.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EBAY","EBAY INC","Consumer Discretionary","Equity","465,748,210.48","0.07","465,748,210.48","5,691,656.00","81.83","United States","NASDAQ","USD","1.00","USD","-"
"KDP","KEURIG DR PEPPER INC","Consumer Staples","Equity","463,907,353.92","0.07","463,907,353.92","16,918,576.00","27.42","United States","NASDAQ","USD","1.00","USD","-"
"VMC","VULCAN MATERIALS","Materials","Equity","463,788,334.26","0.07","463,788,334.26","1,645,398.00","281.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DELL","DELL TECHNOLOGIES INC CLASS C","Information Technology","Equity","463,303,082.21","0.07","463,303,082.21","3,776,209.00","122.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ED","CONSOLIDATED EDISON INC","Utilities","Equity","462,227,571.61","0.07","462,227,571.61","4,491,571.00","102.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DAL","DELTA AIR LINES INC","Industrials","Equity","461,502,195.78","0.07","461,502,195.78","8,078,106.00","57.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IQV","IQVIA HOLDINGS INC","Health Care","Equity","460,052,593.28","0.07","460,052,593.28","2,117,326.00","217.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CPRT","COPART INC","Industrials","Equity","457,795,601.68","0.06","457,795,601.68","11,079,274.00","41.32","United States","NASDAQ","USD","1.00","USD","-"
"EQT","EQT CORP","Energy","Equity","456,620,157.50","0.06","456,620,157.50","7,772,258.00","58.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TRGP","TARGA RESOURCES CORP","Energy","Equity","454,480,165.72","0.06","454,480,165.72","2,680,034.00","169.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VTR","VENTAS REIT INC","Real Estate","Equity","452,009,516.64","0.06","452,009,516.64","5,660,024.00","79.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SYY","SYSCO CORP","Consumer Staples","Equity","451,370,924.40","0.06","451,370,924.40","5,946,916.00","75.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PRU","PRUDENTIAL FINANCIAL INC","Financials","Equity","449,956,721.76","0.06","449,956,721.76","4,383,834.00","102.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RMD","RESMED INC","Health Care","Equity","448,993,249.90","0.06","448,993,249.90","1,823,545.00","246.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WEC","WEC ENERGY GROUP INC","Utilities","Equity","447,371,924.40","0.06","447,371,924.40","4,008,709.00","111.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MLM","MARTIN MARIETTA MATERIALS INC","Materials","Equity","445,465,723.22","0.06","445,465,723.22","750,979.00","593.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PAYX","PAYCHEX INC","Industrials","Equity","444,010,013.08","0.06","444,010,013.08","4,037,923.00","109.96","United States","NASDAQ","USD","1.00","USD","-"
"PCG","PG&E CORP","Utilities","Equity","442,069,912.50","0.06","442,069,912.50","27,372,750.00","16.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CTSH","COGNIZANT TECHNOLOGY SOLUTIONS COR","Information Technology","Equity","436,424,182.25","0.06","436,424,182.25","6,082,567.00","71.75","United States","NASDAQ","USD","1.00","USD","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","431,115,969.68","0.06","431,115,969.68","431,115,970.00","100.00","United States","-","USD","1.00","USD","-"
"OTIS","OTIS WORLDWIDE CORP","Industrials","Equity","428,677,161.50","0.06","428,677,161.50","4,887,995.00","87.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KMB","KIMBERLY CLARK CORP","Consumer Staples","Equity","426,652,850.75","0.06","426,652,850.75","4,132,231.00","103.25","United States","NASDAQ","USD","1.00","USD","-"
"XYL","XYLEM INC","Industrials","Equity","424,907,654.40","0.06","424,907,654.40","3,031,590.00","140.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACGL","ARCH CAPITAL GROUP LTD","Financials","Equity","424,914,635.16","0.06","424,914,635.16","4,629,204.00","91.79","United States","NASDAQ","USD","1.00","USD","-"
"NUE","NUCOR CORP","Materials","Equity","424,563,506.71","0.06","424,563,506.71","2,858,821.00","148.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WAB","WESTINGHOUSE AIR BRAKE TECHNOLOGIE","Industrials","Equity","420,721,372.89","0.06","420,721,372.89","2,129,049.00","197.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FISV","FISERV INC","Financials","Equity","415,282,657.18","0.06","415,282,657.18","6,770,177.00","61.34","United States","NASDAQ","USD","1.00","USD","-"
"FIS","FIDELITY NATIONAL INFORMATION SERV","Financials","Equity","410,842,722.45","0.06","410,842,722.45","6,505,823.00","63.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GEHC","GE HEALTHCARE TECHNOLOGIES INC","Health Care","Equity","403,838,753.36","0.06","403,838,753.36","5,686,268.00","71.02","United States","NASDAQ","USD","1.00","USD","-"
"NRG","NRG ENERGY INC","Utilities","Equity","400,970,060.40","0.06","400,970,060.40","2,408,952.00","166.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"STT","STATE STREET CORP","Financials","Equity","399,952,806.40","0.06","399,952,806.40","3,533,152.00","113.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XYZ","BLOCK INC CLASS A","Financials","Equity","394,518,939.76","0.06","394,518,939.76","6,844,534.00","57.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VICI","VICI PPTYS INC","Real Estate","Equity","392,716,094.72","0.06","392,716,094.72","13,280,896.00","29.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WTW","WILLIS TOWERS WATSON PLC","Financials","Equity","388,167,913.44","0.06","388,167,913.44","1,214,847.00","319.52","United States","NASDAQ","USD","1.00","USD","-"
"KVUE","KENVUE INC","Consumer Staples","Equity","387,909,026.43","0.06","387,909,026.43","23,900,741.00","16.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VRSK","VERISK ANALYTICS INC","Industrials","Equity","387,968,682.72","0.06","387,968,682.72","1,740,082.00","222.96","United States","NASDAQ","USD","1.00","USD","-"
"GRMN","GARMIN LTD","Consumer Discretionary","Equity","386,525,107.50","0.05","386,525,107.50","2,035,950.00","189.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OXY","OCCIDENTAL PETROLEUM CORP","Energy","Equity","380,559,272.48","0.05","380,559,272.48","8,950,124.00","42.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KEYS","KEYSIGHT TECHNOLOGIES INC","Information Technology","Equity","374,539,171.63","0.05","374,539,171.63","2,143,531.00","174.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UAL","UNITED AIRLINES HOLDINGS INC","Industrials","Equity","370,614,546.00","0.05","370,614,546.00","4,031,925.00","91.92","United States","NASDAQ","USD","1.00","USD","-"
"ADM","ARCHER DANIELS MIDLAND","Consumer Staples","Equity","365,200,407.47","0.05","365,200,407.47","5,983,949.00","61.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MTD","METTLER TOLEDO INC","Health Care","Equity","358,227,129.15","0.05","358,227,129.15","256,527.00","1,396.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DTE","DTE ENERGY","Utilities","Equity","354,413,623.08","0.05","354,413,623.08","2,585,451.00","137.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MTB","M&T BANK CORP","Financials","Equity","354,426,510.90","0.05","354,426,510.90","1,946,329.00","182.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TSCO","TRACTOR SUPPLY","Consumer Discretionary","Equity","353,313,309.58","0.05","353,313,309.58","6,600,286.00","53.53","United States","NASDAQ","USD","1.00","USD","-"
"EXPE","EXPEDIA GROUP INC","Consumer Discretionary","Equity","353,262,720.00","0.05","353,262,720.00","1,471,928.00","240.00","United States","NASDAQ","USD","1.00","USD","-"
"AEE","AMEREN CORP","Utilities","Equity","353,292,919.80","0.05","353,292,919.80","3,367,902.00","104.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSGP","COSTAR GROUP INC","Real Estate","Equity","352,502,053.47","0.05","352,502,053.47","5,276,187.00","66.81","United States","NASDAQ","USD","1.00","USD","-"
"IBKR","INTERACTIVE BROKERS GROUP INC CLAS","Financials","Equity","350,848,094.04","0.05","350,848,094.04","5,545,252.00","63.27","United States","NASDAQ","USD","1.00","USD","-"
"HUM","HUMANA INC","Health Care","Equity","350,690,461.70","0.05","350,690,461.70","1,498,037.00","234.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FANG","DIAMONDBACK ENERGY INC","Energy","Equity","350,525,921.58","0.05","350,525,921.58","2,343,401.00","149.58","United States","NASDAQ","USD","1.00","USD","-"
"ATO","ATMOS ENERGY CORP","Utilities","Equity","350,298,597.46","0.05","350,298,597.46","1,999,193.00","175.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CCL","CARNIVAL CORP","Consumer Discretionary","Equity","348,317,369.12","0.05","348,317,369.12","13,521,637.00","25.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EXE","EXPAND ENERGY CORP","Energy","Equity","347,517,883.12","0.05","347,517,883.12","2,966,182.00","117.16","United States","NASDAQ","USD","1.00","USD","-"
"ES","EVERSOURCE ENERGY","Utilities","Equity","344,531,855.78","0.05","344,531,855.78","4,622,107.00","74.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EXR","EXTRA SPACE STORAGE REIT INC","Real Estate","Equity","344,536,976.14","0.05","344,536,976.14","2,643,371.00","130.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RJF","RAYMOND JAMES INC","Financials","Equity","344,279,563.86","0.05","344,279,563.86","2,210,037.00","155.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EME","EMCOR GROUP INC","Industrials","Equity","342,598,893.37","0.05","342,598,893.37","557,443.00","614.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCHP","MICROCHIP TECHNOLOGY INC","Information Technology","Equity","341,910,394.46","0.05","341,910,394.46","6,721,258.00","50.87","United States","NASDAQ","USD","1.00","USD","-"
"HPE","HEWLETT PACKARD ENTERPRISE","Information Technology","Equity","341,562,701.70","0.05","341,562,701.70","16,342,713.00","20.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FITB","FIFTH THIRD BANCORP","Financials","Equity","340,780,461.06","0.05","340,780,461.06","8,243,359.00","41.34","United States","NASDAQ","USD","1.00","USD","-"
