iShares Core S&P 500 ETF
Fund Holdings as of,"Nov 18, 2025"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,061,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"CAT","CATERPILLAR INC","Industrials","Equity","3,190,875,267.20","0.45","3,190,875,267.20","5,834,690.00","546.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","3,184,819,975.50","0.45","3,184,819,975.50","13,937,943.00","228.50","United States","NASDAQ","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","3,021,371,998.50","0.43","3,021,371,998.50","19,386,410.00","155.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","2,999,785,037.03","0.43","2,999,785,037.03","31,108,421.00","96.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","2,926,906,402.70","0.42","2,926,906,402.70","3,770,329.00","776.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RTX","RTX CORP","Industrials","Equity","2,912,710,644.48","0.41","2,912,710,644.48","16,670,734.00","174.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","2,817,937,720.00","0.40","2,817,937,720.00","21,676,444.00","130.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRM","SALESFORCE INC","Information Technology","Equity","2,780,166,349.00","0.39","2,780,166,349.00","11,906,494.00","233.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","2,708,960,220.33","0.38","2,708,960,220.33","4,702,811.00","576.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","2,707,006,160.43","0.38","2,707,006,160.43","8,887,377.00","304.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","2,536,685,154.81","0.36","2,536,685,154.81","17,051,053.00","148.77","United States","NASDAQ","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","2,441,084,190.58","0.35","2,441,084,190.58","4,464,554.00","546.77","United States","NASDAQ","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","2,421,961,482.24","0.34","2,421,961,482.24","5,839,992.00","414.72","United States","NASDAQ","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","2,414,988,945.05","0.34","2,414,988,945.05","15,109,735.00","159.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","2,379,829,837.28","0.34","2,379,829,837.28","22,392,076.00","106.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UBER","UBER TECHNOLOGIES INC","Industrials","Equity","2,359,873,434.38","0.34","2,359,873,434.38","25,972,633.00","90.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","2,306,468,429.55","0.33","2,306,468,429.55","6,705,045.00","343.99","United States","NASDAQ","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","2,302,865,687.92","0.33","2,302,865,687.92","6,760,012.00","340.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","2,279,772,876.80","0.32","2,279,772,876.80","89,053,628.00","25.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","2,257,818,351.40","0.32","2,257,818,351.40","15,762,485.00","143.24","United States","NASDAQ","USD","1.00","USD","-"
"INTU","INTUIT INC","Information Technology","Equity","2,257,306,909.79","0.32","2,257,306,909.79","3,474,223.00","649.73","United States","NASDAQ","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","2,254,193,946.80","0.32","2,254,193,946.80","22,927,115.00","98.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","2,250,012,492.00","0.32","2,250,012,492.00","9,994,725.00","225.12","United States","NASDAQ","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","2,217,124,378.98","0.31","2,217,124,378.98","13,432,233.00","165.06","United States","NASDAQ","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","2,178,181,292.44","0.31","2,178,181,292.44","52,511,603.00","41.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","2,170,790,265.12","0.31","2,170,790,265.12","25,647,333.00","84.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NOW","SERVICENOW INC","Information Technology","Equity","2,118,966,826.43","0.30","2,118,966,826.43","2,590,519.00","817.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TJX","TJX INC","Consumer Discretionary","Equity","2,022,725,788.48","0.29","2,022,725,788.48","13,894,256.00","145.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","2,013,860,125.20","0.29","2,013,860,125.20","15,205,830.00","132.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","1,965,387,067.48","0.28","1,965,387,067.48","15,453,586.00","127.18","United States","NASDAQ","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","1,961,051,046.60","0.28","1,961,051,046.60","21,251,095.00","92.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","1,930,638,071.45","0.27","1,930,638,071.45","403,645.00","4,783.01","United States","NASDAQ","USD","1.00","USD","-"
"SPGI","S&P GLOBAL INC","Financials","Equity","1,908,134,950.12","0.27","1,908,134,950.12","3,891,929.00","490.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GEV","GE VERNOVA INC","Industrials","Equity","1,881,477,956.54","0.27","1,881,477,956.54","3,390,478.00","554.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","1,871,428,337.62","0.27","1,871,428,337.62","54,512,914.00","34.33","United States","NASDAQ","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","1,861,724,640.00","0.26","1,861,724,640.00","7,757,186.00","240.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","1,845,678,244.37","0.26","1,845,678,244.37","1,643,393.00","1,123.09","United States","NASDAQ","USD","1.00","USD","-"
"BSX","BOSTON SCIENTIFIC CORP","Health Care","Equity","1,831,038,721.82","0.26","1,831,038,721.82","18,454,331.00","99.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","1,827,806,188.06","0.26","1,827,806,188.06","1,793,479.00","1,019.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","1,802,115,009.00","0.26","1,802,115,009.00","70,810,020.00","25.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DHR","DANAHER CORP","Health Care","Equity","1,789,891,812.84","0.25","1,789,891,812.84","7,937,084.00","225.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","1,785,816,441.99","0.25","1,785,816,441.99","9,417,373.00","189.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","1,781,288,422.56","0.25","1,781,288,422.56","11,322,708.00","157.32","United States","NASDAQ","USD","1.00","USD","-"
"APP","APPLOVIN CORP CLASS A","Information Technology","Equity","1,773,553,703.11","0.25","1,773,553,703.11","3,371,711.00","526.01","United States","NASDAQ","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","1,714,244,446.58","0.24","1,714,244,446.58","5,283,214.00","324.47","United States","NASDAQ","USD","1.00","USD","-"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","1,672,081,614.00","0.24","1,672,081,614.00","8,318,814.00","201.00","United States","NASDAQ","USD","1.00","USD","-"
"WELL","WELLTOWER INC","Real Estate","Equity","1,651,708,506.98","0.23","1,651,708,506.98","8,329,762.00","198.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PGR","PROGRESSIVE CORP","Financials","Equity","1,641,831,564.24","0.23","1,641,831,564.24","7,300,923.00","224.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","1,640,170,648.64","0.23","1,640,170,648.64","4,848,416.00","338.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","1,630,978,507.38","0.23","1,630,978,507.38","7,386,009.00","220.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","1,608,493,420.80","0.23","1,608,493,420.80","15,957,276.00","100.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","1,594,528,249.96","0.23","1,594,528,249.96","3,104,188.00","513.67","United States","NASDAQ","USD","1.00","USD","-"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","1,593,233,783.04","0.23","1,593,233,783.04","7,964,576.00","200.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","1,584,574,078.20","0.22","1,584,574,078.20","12,835,756.00","123.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SYK","STRYKER CORP","Health Care","Equity","1,540,657,886.88","0.22","1,540,657,886.88","4,285,319.00","359.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","1,532,599,039.14","0.22","1,532,599,039.14","6,980,002.00","219.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","1,513,827,696.50","0.21","1,513,827,696.50","7,907,170.00","191.45","United States","NASDAQ","USD","1.00","USD","-"
